original_language,popularity,title,vote_average,tconst,primary_title,start_year,runtime_minutes,genres,movie,production_budget,worldwide_gross
en,2.215,Brilliantlove,4.7,tt1468313,The Orgasm Diaries,2010,97.0,"Drama,Romance",Red Sparrow,69000000,145951861.0
pt,2.206,The Strange Case of Angelica,6.7,tt1282153,The Strange Case of Angelica,2010,97.0,"Drama,Fantasy",The Score,68000000,113542091.0
en,2.198,Bhutto,5.4,tt1524095,Bhutto,2010,111.0,"Biography,Documentary",Hall Pass,68000000,87173475.0
en,2.19,8: The Mormon Proposition,6.2,tt1484522,8: The Mormon Proposition,2010,80.0,Documentary,Money Train,68000000,77224232.0
en,2.178,Bio Slime,4.3,tt1598778,Contagion,2011,106.0,"Action,Drama,Thriller",Dreamcatcher,68000000,75685268.0
en,10.444,Contagion,6.3,tt1598778,Contagion,2011,106.0,"Action,Drama,Thriller",Mystery Men,68000000,33462011.0
en,2.172,Pixels,7.1,tt2120120,Pixels,2015,105.0,"Action,Comedy,Sci-Fi",The Insider,68000000,60265197.0
en,2.1590000000000003,Role/Play,5.5,tt1634300,Role/Play,2010,85.0,"Drama,Romance",Abraham Lincoln: Vampire Hunter,67500000,137489730.0
hu,2.155,Bibliothèque Pascal,6.9,tt0997035,Bibliothèque Pascal,2010,105.0,Drama,Last Man Standing,67000000,18115927.0
en,2.155,Silent But Deadly,3.8,tt1237961,Silent But Deadly,2011,80.0,"Comedy,Horror",The Last Legion,67000000,25357771.0
es,2.072,Agnosia,5.0,tt1519245,Agnosia,2010,105.0,"Drama,Thriller",The Santa Clause 2,65000000,172825854.0
en,2.057,The Lazarus Papers,4.5,tt1247400,The Lazarus Papers,2010,90.0,"Action,Drama,Sci-Fi",Step Brothers,65000000,128468793.0
en,2.0380000000000003,Virus X,3.5,tt1509125,Virus X,2010,85.0,"Horror,Sci-Fi",Space Cowboys,65000000,128874043.0
es,2.007,"No eres tú, soy yo",6.3,tt1421046,"It's Not You, It's Me",2010,101.0,"Comedy,Romance",Annie,65000000,139829625.0
en,2.002,Wreckage,3.9,tt0884214,Wreckage,2010,87.0,"Horror,Thriller",World Trade Center,65000000,163295654.0
en,1.998,Zenith,5.4,tt1363468,Zenith,2010,93.0,"Sci-Fi,Thriller",The Kid,65000000,69688384.0
en,1.982,The Way Home,5.1,tt1252507,The Way Home,2010,89.0,Drama,Mona Lisa Smile,65000000,141205169.0
en,1.982,The Way Home,5.1,tt8619980,The Way Home,2015,67.0,Horror,The Dictator,65000000,180148897.0
en,1.982,The Way Home,5.1,tt9676134,The Way Home,2018,65.0,Documentary,Eyes Wide Shut,65000000,104267443.0
en,1.971,Enemies Among Us,1.6,tt1462044,Enemies Among Us,2010,76.0,"Action,Drama,Thriller",This Means War,65000000,156974557.0
en,1.963,Meskada,5.0,tt1461249,Meskada,2010,98.0,"Crime,Drama,Thriller",Focus,65000000,168065700.0
en,1.961,The Hammer,6.5,tt1094666,The Hammer,2010,108.0,"Biography,Drama,Sport",Blade: Trinity,65000000,131353165.0
en,1.96,Venice,7.2,tt1684935,Venice,2010,110.0,Drama,Red Dawn,65000000,48164150.0
da,1.96,The Erotic Man,6.3,tt1337103,The Erotic Man,2010,85.0,Drama,We Are Marshall,65000000,43545364.0
en,1.96,Death and Cremation,5.5,tt1484954,Death and Cremation,2010,86.0,Thriller,Primary Colors,65000000,39017984.0
en,1.96,Big Money Rustlas,3.9,tt1380784,Big Money Rustlas,2010,95.0,"Comedy,Western",Death Race,65000000,72516819.0
de,1.96,Downstream,3.5,tt1229236,World's End,2010,101.0,"Action,Sci-Fi",The Long Kiss Goodnight,65000000,33447612.0
en,1.96,Special Ops,2.8,tt1237373,Special Ops,2010,98.0,"Action,Thriller",Proof of Life,65000000,62761005.0
en,1.952,Neowolf,1.8,tt0847215,Neowolf,2010,88.0,"Horror,Thriller",The Missing,65000000,38253433.0
en,1.945,The Invited,3.1,tt0490236,The Invited,2010,95.0,"Horror,Thriller",Elektra,65000000,56824633.0
es,1.936,Sex express coffee,5.8,tt1706481,Sex express coffee,2010,87.0,Thriller,"I, Frankenstein",65000000,74575290.0
en,1.927,Eyes in the Dark,3.9,tt1561479,Eyes in the Dark,2010,78.0,"Horror,Sci-Fi,Thriller",Hudson Hawk,65000000,17218916.0
es,1.922,The Zero Hour,6.9,tt1322302,The Zero Hour,2010,100.0,"Action,Drama,Thriller",Sin City: A Dame to Kill For,65000000,40650842.0
en,1.92,Locked Away,4.8,tt1338635,Locked Away,2017,98.0,Horror,Live by Night,65000000,21774432.0
en,1.92,Locked Away,4.8,tt1639080,Locked Away,2010,93.0,"Crime,Drama,Thriller",Lucky Numbers,65000000,10014234.0
en,0.6,Locked Away,6.0,tt1338635,Locked Away,2017,98.0,Horror,Oliver Twist,65000000,26670920.0
en,0.6,Locked Away,6.0,tt1639080,Locked Away,2010,93.0,"Crime,Drama,Thriller",Tian jiang xiong shi,65000000,122519874.0
en,1.906,The Kane Files: Life of Trial,5.5,tt1546420,The Kane Files: Life of Trial,2010,86.0,Action,Air Strike,65000000,516279.0
en,1.904,Costa Rican Summer,4.6,tt1370426,Costa Rican Summer,2010,89.0,Comedy,Little Man,64000000,101636047.0
en,1.901,Alien vs. Ninja,4.3,tt1592503,Alien vs. Ninja,2010,80.0,"Action,Comedy,Fantasy",Random Hearts,64000000,63200000.0
en,1.898,Flying Lessons,6.1,tt1210059,Flying Lessons,2010,104.0,Drama,Perfume: The Story of a Murderer,63700000,133603463.0
en,1.876,Kalamity,4.0,tt1109594,Kalamity,2010,98.0,"Drama,Thriller",American Assassin,63000000,68310140.0
it,1.867,Draquila - L'Italia che trema,7.0,tt1650404,Draquila - L'Italia che trema,2010,93.0,Documentary,Wyatt Earp,63000000,25052000.0
no,1.861,Shameless,6.5,tt1711487,Shameless,2010,98.0,Drama,U-571,62000000,127630030.0
en,1.851,Supreme Champion,3.6,tt1283546,Supreme Champion,2010,86.0,Action,The American President,62000000,107822813.0
en,1.841,Perfect Life,4.3,tt0479204,Perfect Life,2010,98.0,"Horror,Thriller",The Hateful Eight,62000000,147864886.0
en,1.837,Dead Awake,4.4,tt1501652,Dead Awake,2010,93.0,"Fantasy,Mystery,Romance",3000 Miles to Graceland,62000000,18708848.0
en,5.907,Dead Awake,4.9,tt1501652,Dead Awake,2010,93.0,"Fantasy,Mystery,Romance",Blades of Glory,61000000,145594548.0
en,5.907,Dead Awake,4.9,tt1501652,Dead Awake,2010,93.0,"Fantasy,Mystery,Romance",2 Guns,61000000,132493015.0
hi,1.831,Hisss,3.5,tt1244093,Hisss,2010,98.0,"Comedy,Drama,Horror",A Dogâs Way Home,61000000,81149689.0
en,1.812,Thirst,4.8,tt3955808,Thirst,2015,87.0,"Action,Sci-Fi,Thriller",Couples Retreat,60000000,172450423.0
en,1.947,Thirst,5.2,tt1726796,Thirst,2012,95.0,Drama,The Italian Job,60000000,176262839.0
en,1.947,Thirst,5.2,tt3793668,Thirst,2015,75.0,"Crime,Drama,Mystery",Daddy Day Care,60000000,164285587.0
en,1.947,Thirst,5.2,tt3955808,Thirst,2015,87.0,"Action,Sci-Fi,Thriller",The General's Daughter,60000000,149705852.0
en,1.783,Machete Joe,1.5,tt1307972,Machete Joe,2010,81.0,Horror,Antz,60000000,152457863.0
en,1.781,A Marine Story,6.2,tt1447479,A Marine Story,2010,98.0,"Crime,Drama,Romance",The Scorpion King,60000000,165890634.0
